UPLINK: CDN - Lewis Thomas Laboratory,40.345234,-74.653857,rx,2123747,2042259,3641071,1649828,1910339,1323299,1764575,1596504,1572850,1429382,1933884,4269630,3525907,4954692,5617693,5791282,9999975,7105298,8251403,10827637,11305381,11140027,8917519,8566432,6759506,3716536,2899560,4001505,2411479
UPLINK: CDN - Bloomberg Hall,40.34349,-74.655985,rx,85361826,42054257,21628926,32152439,21524576,14099376,9866676,9646293,11411128,11502776,15143577,19111999,33446983,36639756,36523368,51026401,54344070,48738850,47024171,58405154,76339884,76664346,84224390,96412972,59360065,53460586,42753024,34161073,28124231
UPLINK: CDN - Bowen Hall,40.349757,-74.650351,rx,498504,177949,132099,405591,147498,112177,133985,109053,94570,103003,110484,139533,142759,582440,1720564,2350599,614380,7085944,7050025,2500242,720671,511803,443584,609906,361507,229202,141014,140767,135621
UPLINK: CDN - Little Hall,40.346817,-74.660251,rx,37814277,31817789,19575918,14340128,6177739,9749401,10641184,5408955,7816141,9216008,8756932,9799003,15202427,19165636,32572419,28333570,38084533,31760265,39252341,47647593,51693898,43218838,65915344,83145865,77608108,46201729,31713884,21681605,19713634
UPLINK: CDN - Fisher Hall,40.344675,-74.65824,rx,3856663,4174962,7772563,893433,1159038,1647521,1873532,1097240,1042633,806518,1190296,1950010,2000480,2076336,2298663,2033075,2288319,2558680,2401093,2949943,4600785,3320317,1999084,2961824,5747283,6590031,5571594,2139199,2283374
UPLINK: CDN - McCormick Hall,40.347142,-74.657859,rx,1894364,1246401,1439664,2034624,1003923,1020104,2649485,1611281,746458,1217464,893059,1241071,3922487,7185697,13871784,9846727,8501218,7393177,4614174,7001659,7359260,7625720,6881575,6998145,1994357,1249861,752439,758295,757201
UPLINK: CDN - Old Grad College,40.340999,-74.657859,rx,30978669,32507456,25338402,18059673,13835878,7289382,7252826,8807709,10159015,11009292,21533593,23161233,22822297,24175154,33121285,31118841,39132660,33665932,45526378,41117845,53362509,75626844,92643370,87124613,52973236,47583968,36533452,21878114,16469680
UPLINK: CDN - New Grad College,40.340801,-74.665806,rx,63251830,50492969,67555883,22186440,15460575,15103928,10390868,10007990,18034892,21720133,39559211,69522960,47301446,36724130,35992199,36044090,44359253,69308264,95058162,72911819,78268282,119769763,92981246,77687689,66534949,52991626,40574245,15948446,11347627
UPLINK: CDN VOIP - Forbes College,40.34215,-74.660942,rx,47440616,56854930,35041328,21404298,13552032,7623864,7133265,6401088,7477315,10064593,15549212,25023226,26587754,35617825,69625933,62456981,58553326,46943634,52090803,65705939,89209667,81297740,78359255,93367560,84284698,65907620,57583080,42337227,26753721
UPLINK: CDN - von Neumann Hall,40.350481,-74.649161,rx,642372,528501,563342,478403,581236,591328,1067558,2131781,953976,6761022,1711923,1082621,2847425,2963734,3216554,4624761,3874395,6218428,5367441,7470349,7158403,5530597,3962003,4025504,4071163,1718751,1753411,1563527,1506307
UPLINK: CDN - Witherspoon Hall,40.347482,-74.660188,rx,18660317,11709571,11369019,7662920,5595636,3888061,1856360,4129239,7494231,6848575,9833881,14678138,20541045,22913249,22363653,28897155,30749996,34575433,21551971,27082055,32613745,43717688,48292039,41687963,46912844,32167976,14674370,11651065,9287492
UPLINK: CDN - East Pyne,40.348747,-74.658499,rx,2937295,2799881,1390767,825956,806998,875851,760740,989141,818921,920009,1163438,2495257,8685070,15386910,14907969,24883719,30010295,24389965,20313762,10658119,11558701,12835962,6474185,5149453,3036705,1877727,1586394,1350582,1159740
UPLINK: CDN - Henry Hall,40.345865,-74.660676,rx,12686275,13388677,8452171,5906830,4675732,5196232,3262470,1878435,1076830,1639811,7129296,3493267,5317401,6252137,6962190,11783968,13018435,18417140,14533818,16883481,21598281,31765110,41536378,53363200,45390561,18606708,17350230,16992310,10770882
UPLINK: CDN - Fine Hall,40.345824,-74.65242,rx,9517298,5804950,7565878,4591436,5284130,5056397,5473558,5957564,11267266,8753831,10838301,11520698,13256536,13247168,12744240,15479968,18470278,18025821,22813290,20661056,18833212,16727724,17726480,12545008,10288955,7891175,6453738,6004118,6153386
UPLINK: CDN VOIP - Lawrence Apts,40.332915,-74.657145,rx,107490088,78530313,58343947,40132609,27457117,25024345,16191205,24013983,20643478,35059710,58110635,79407716,84793170,94140148,103986304,87493696,105769951,83773344,90785890,107738842,115763564,133054002,105669684,104498189,96790222,116910214,70975361,42986531,24768967
UPLINK: CDN - Carl Icahn Lab,40.344453,-74.653287,rx,12166694,11427165,10383371,10386994,9041411,7751012,8812188,7056796,6971161,8062411,7108569,15790058,8894469,11610877,47112311,42819291,69327455,13531727,15568428,15149714,19577350,16916410,13731544,13701823,14144840,14785835,14564513,15485683,8261803
UPLINK: CDN - EQuad B-Wing,40.350719,-74.650544,rx,37367374,31526813,23647298,20998826,20924623,20416506,22081988,19286426,19686558,21804106,44917354,55964654,35628328,40246136,47740628,50936531,68918831,58165597,76495199,62316583,58329841,60567185,56242496,50176287,48042819,32108268,33961205,28930619,28126883
UPLINK: CDN - Jadwin Gym,40.343447,-74.648701,rx,24290098,27641200,19256901,12096747,9247952,7172434,4924739,8334836,6386065,6572900,7672203,13413072,16709752,12648055,12774302,25031388,26693773,24743994,18274956,29813948,48711814,62047158,40566710,84574586,48989397,37227349,31816579,16414774,13761345
UPLINK: CDN - Class of 1901 Hall,40.345872,-74.660142,rx,17887097,10980001,9316732,8369520,5652218,2342464,2676521,2045947,4210409,1866421,5628800,9610051,37699023,15009810,19629876,21088688,19355525,39422299,35426490,27640681,42493931,49803878,53820276,65363705,44447862,34424669,42584096,19953497,14165956
UPLINK: CDN - Class of 1903 Hall,40.34613,-74.656942,rx,17830272,9877495,8703497,6027113,3964090,2198464,5002709,6708609,8962089,17357743,21589395,17869984,17119188,13811407,16644964,20077374,23112199,25192257,25127484,18691241,32572245,32139614,36528630,36292943,33824546,27628475,24314548,11735344,8857656
UPLINK: CDN - Robertson Hall,40.348347,-74.654724,rx,2536677,1236770,1167771,923070,847834,963521,1097819,836275,603316,1084084,1872451,2594286,2543712,4064437,4290818,7180466,4301281,6777712,4756999,3855815,9812108,5943115,5621444,3750824,2400822,1797991,1197930,1050720,1055414
UPLINK: CDN - Fisher Hall,40.344716,-74.658261,rx,3935084,1800120,1161011,976164,921482,929243,1446360,1016209,831390,1438418,3408288,4604039,2996268,4286615,5518809,3766640,3695800,19628247,4211457,3991942,6887206,3353452,3459332,4528585,3382773,2558343,1415488,1195226,1289877
UPLINK: CDN - Wilcox Hall,40.344779,-74.656155,rx,4210776,2733395,2335535,2196230,652714,677126,523007,714017,800261,1631609,3321506,6620423,22753386,18838721,19498546,12610475,8853337,15190637,15312019,16583157,20329784,13241048,14613122,10980801,9959791,5547434,3877839,2451809,1784401
UPLINK: CDN - Holder Hall,40.348716,-74.661314,rx,27868474,27538889,10994395,7453004,3442736,2852224,2728878,3859888,5922334,6238801,8912411,13221784,16757904,22175068,26406583,29716873,35089951,34462391,34105427,47163973,42548935,54545043,62804902,59031717,55074262,40810572,26226213,18853219,15031322
UPLINK: CDN - Forbes College Addition,40.341665,-74.660702,rx,19051766,16215952,13647837,9946684,8466440,3419689,2031739,1619143,1744013,3088769,6354027,6116053,13931866,12294597,15000180,62554879,28743520,25036945,28078792,30517576,34196625,43253180,56789771,56397505,45984543,33868914,27672571,14300510,9008249
UPLINK: CDN - Friend Center,40.350347,-74.652729,rx,3813023,1333969,474972,469522,649308,417958,504312,1764052,1293695,515446,771771,8412094,1816599,5773146,11410856,39228518,24509877,12018451,10995438,10904228,11028592,8094562,8235454,24444947,6597464,7962605,4358595,1256494,551864
UPLINK: CDN - Woolworth Music Center,40.347222,-74.655887,rx,744740,652136,277298,418755,323770,667753,289127,336471,386595,1437574,2437415,817137,1492357,1816744,1733819,875671,1656008,961706,722155,1684965,2338261,1476915,1996718,1909442,490129,554201,384204,520339,639322
UPLINK: CDN - Frist Campus Center,40.346814,-74.655308,rx,1605436,938102,891996,986045,815199,805873,1376160,2016013,925177,1930317,1782473,2599510,4908551,7871908,15501620,16559752,23341777,14229370,15012268,18498789,26306964,28631991,25079987,16072925,9027760,4860261,2002551,1536312,1101703
UPLINK: CDN - Frist Campus Center,40.346814,-74.655308,rx,806471,571843,601358,559401,525266,511691,610263,622161,724977,697643,2032055,2698667,9537199,14726486,21960744,32030127,26395232,16470600,19928112,27192293,37863587,46135293,38565316,39101404,31526719,11497590,1388955,1020300,896913
UPLINK: CDN - Whitman College,40.344,-74.657996,rx,128352712,68363278,38918773,77010234,80331981,49536926,66501448,44516929,67181598,66146752,85692591,77154529,85497899,119911131,124448952,134802855,146047684,194917403,150564860,170030379,203776140,199952799,217875267,233744299,196069036,169946035,174168971,109309662,110051148
UPLINK: CDN - West College,40.347979,-74.659678,rx,1668589,986961,1068532,975660,1161611,1221365,1251145,859649,819304,913426,1070988,1231964,2698040,1922883,1868571,2285491,2548177,2379054,2849686,2174450,2513840,2596321,2658219,2708520,1962908,1541117,1532702,1374804,1198497
UPLINK: CDN - Sherrerd Hall,40.349529,-74.652725,rx,8437796,6724567,3227206,2681546,2527107,2025344,1590354,1428162,1554655,1682480,1867523,3186874,4530259,21703603,7942222,7514102,17208368,10358712,16558855,10138826,11911547,13744830,11135368,10095595,5821205,4685879,3334727,2071761,2582639
UPLINK: CDN - Butler College,40.344015,-74.656392,rx,49086876,23084738,16189214,15346903,10251066,8800249,7933685,11303297,9847561,8225761,11097753,25696922,15829079,27730369,35881626,43969027,58133482,65690041,47240271,76568139,84790081,116697007,111864053,107202618,76119776,79560909,60175587,42006721,35316186
UPLINK: CDN - Lewis Library,40.346253,-74.652731,rx,29014286,18616081,15483859,34102568,14354383,12610835,17227603,15626196,20906724,24656898,20631379,25896768,104301225,50060491,28546404,37001393,34594136,54351721,43639720,47771525,70295834,51381060,40552809,33297583,27371986,22977942,15016086,36608531,19222524
UPLINK: CDN - Aaron Burr Hall,40.350198,-74.656595,rx,558322,368989,156903,185951,149236,137026,442419,118365,109467,190269,207229,184716,802632,442568,813045,724218,1203738,984506,881699,1536067,1187439,1116281,478445,436457,259764,156392,152827,191344,136678
UPLINK: CDN - Frick Chemistory Lab,40.344007,-74.650778,rx,14861515,14706703,15057974,15229710,14768657,13811974,11175753,19687954,11118236,12152245,92959612,94818658,153234801,14690831,13486998,12805050,16468255,18009019,15121616,16721616,14649027,14928057,13538868,14055794,12945487,10500306,10409833,10690252,9896799
UPLINK: CDN - Jadwin Hall,40.344924,-74.651786,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Firestone Library,40.349402,-74.65754,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - PNI/PSH core-87 Chan-29,,,rx,1507654,1240181,1356480,1303074,1239370,1270820,1286321,1285154,1272659,1408797,1927881,1768297,1976500,2335101,3674000,3179037,2436559,2685522,3046973,4488104,3470495,3525598,4085405,3585331,2695645,2289302,2242678,2034522,2339333
UPLINK: CDN - Colonial Club,40.348673,-74.652458,rx,939866,2503731,3562286,3416501,2684873,3700795,1693061,2042586,1989951,1870019,2660505,7669874,1598624,1303533,1686001,1944326,2447943,4883290,9051398,6206713,11103664,6209364,6649502,7512376,8082932,6063133,4972100,3182928,2663445
UPLINK: CDN - Tiger Inn,40.34884,-74.652207,rx,191345,341861,151398,143962,142670,135928,131873,139033,187412,480878,173938,212676,515762,530665,598968,579034,776233,451971,1474876,485411,868887,617843,1166339,499351,661478,747020,894962,193071,176164
UPLINK: CDN - Tower Club,40.347725,-74.654035,rx,245464,207151,184957,172456,167642,156641,152812,160102,199378,185531,209646,346686,374380,605464,833056,1548398,1012460,2897464,3708603,6038106,3851303,3973021,4276541,3011400,3258455,3128862,2209568,1831674,1639797
UPLINK: CDN - Terrace Club,40.347069,-74.65402,rx,258293,636121,1127542,564929,179662,162354,156507,165665,665039,380695,307834,339384,783003,451483,833007,1495327,1522173,2120080,2752225,7229498,6412565,2251292,1574521,728678,1423991,852814,1081760,1145347,766479
UPLINK: CDN - Quadrangle Club,40.348012,-74.652734,rx,2522055,805609,588595,935096,728698,793965,697301,4768332,4255334,191680,254186,951179,597847,834816,970030,1476774,3552697,1667194,4424635,6299282,6507950,3320359,2295186,4223821,3029543,928523,798096,976345,2536870
UPLINK: CDN - Cottage Club,40.348294,-74.651769,rx,203863,178195,163792,154568,151976,144199,140083,143403,151688,168998,188253,231846,236899,442658,286897,287011,308837,303255,345006,347176,372268,362893,378090,431462,358272,287201,253537,212869,195508
UPLINK: CDN - Prospect House,40.347103,-74.656707,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - DeNunzio Pool,40.343898,-74.647436,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Maclean House,40.349122,-74.660252,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Charter Club,40.348855,-74.650101,rx,2832742,950029,213285,201485,197117,188533,209382,189382,221525,1222993,598184,1389289,660694,2480552,2395798,4350560,11053285,18658532,4823747,3363841,5490608,12535486,14440935,9263336,4891072,1863622,2208431,3115045,1694178
UPLINK: CDN - Bobst Hall,40.348961,-74.649517,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Henry House,40.34938,-74.658949,rx,47332296,68761345,69734557,14737920,22275510,16592554,54105030,66988645,67364706,20729022,17383158,38492613,69130221,23756282,26389171,11633621,48109077,69895049,20304011,17697348,10904321,41113783,34485166,36681965,23445543,29132284,25427170,18941305,28095999
UPLINK: CDN - Cloister Club,40.348656,-74.65058,rx,203318,178277,163862,154396,151825,144080,140061,143136,151606,169070,188410,232023,236374,256382,291652,287586,308673,317854,365498,2259370,557595,906049,3207446,5119445,4750697,4410482,2307219,255848,473951
UPLINK: CDN - Ivy Club,40.348169,-74.652238,rx,1170271,1387433,417955,167800,419420,173624,152929,147706,156394,176579,197941,314314,326337,292090,298011,606948,508418,410530,526474,532123,466714,664068,670692,3576357,784344,879717,2780067,519594,387705
UPLINK: CDN - Cap and Gown Club,40.348326,-74.651047,rx,300856,648979,209700,175703,152661,144316,140866,144131,152306,169369,186475,334300,307334,260341,527282,505387,1103639,744145,876150,1877402,2527234,3362079,1944036,488306,926061,836732,497773,220177,197327
UPLINK: CDN - Eno Hall,40.34544,-74.65529,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Class of 1879 Hall,40.347745,-74.655352,rx,1596445,1296064,825656,745838,648409,662952,968164,923999,722998,978793,2250312,2014639,2898771,4723012,3906142,3139362,3926693,5328484,5428251,8414412,7805916,6838526,4048200,2695232,2049729,1310288,1275495,993340,1229190
UPLINK: CDN - 4 Mercer Street,40.348197,-74.663232,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Hoyt Laboratory,40.349647,-74.654714,rx,656804,700420,333919,312920,299974,297179,378225,312381,288690,460618,1551162,1221505,1263264,2297643,1950548,1903575,2391986,3643918,2157574,3068272,1796905,3617857,2050307,1431618,1151332,836725,1285510,555306,517238
UPLINK: CDN - Nassau Hall,40.348708,-74.659391,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Stanhope Hall,40.348735,-74.660012,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Clio Hall,40.347704,-74.659195,rx,424104,436970,352292,111068,116068,109271,114293,103032,89087,95245,106861,116077,123461,133290,164253,147226,162299,173645,172220,194988,344757,169866,181105,444061,595949,734916,131861,122184,112604
UPLINK: CDN - Dodge Hall,40.347978,-74.657977,rx,233267,160947,96587,84674,82574,81305,84427,80981,79582,136234,122879,109053,200368,125438,159691,133604,538810,246597,359273,999676,946760,755394,2382260,2013794,1185367,129055,121589,108127,100482
UPLINK: CDN - Architectural Labo,40.343597,-74.649973,rx,82992,74547,74026,73687,69888,72120,72583,72717,69886,79446,86925,94797,105275,111697,116924,117469,124966,135182,143474,141766,158053,149202,150930,154207,134521,114737,112823,100241,91979
UPLINK: CDN - Peyton Hall,40.346549,-74.651659,rx,45742234,31555338,12294157,12840981,12779054,11922736,11998807,11825696,12070718,11972332,12622759,13050944,14493639,16447143,16725811,16613664,17094525,64345509,96334544,33791792,15079492,17122970,13553257,12958329,13234678,12893848,12538061,12620315,12789807
UPLINK: CDN - Brown Hall,40.346467,-74.657882,rx,31758641,23959604,23896484,15297017,10167611,6443318,2782401,3130218,2829590,4432478,8398015,14092891,22003635,24404169,22610767,26385539,25297554,22389218,19957395,19035510,22840896,47993729,24817707,33918357,32471710,17440438,20061261,11180293,6835880
UPLINK: CDN - Walker Hall,40.345549,-74.657072,rx,9331665,5668762,4330645,4096577,3349453,3029450,3842610,2379865,2286936,1476675,3364111,3025199,4242944,4505718,11315142,10653035,12134747,13688861,17275852,15970351,23016848,19224189,17431271,22819452,18577396,10393233,11069425,4873826,3231763
UPLINK: CDN - Center for Jewish,40.346685,-74.653631,rx,854736,93529,147010,92821,88249,88230,97679,155290,90601,99482,324649,234766,265725,350907,338120,311327,135559,153654,166992,981735,225867,264736,245514,183984,145542,122030,121092,109872,100098
UPLINK: CDN - Lockhart Hall,40.346718,-74.656582,rx,19104762,10122077,6467668,3909126,1590512,1114619,1051959,979024,2151480,5610681,7977186,9143143,8627251,13533639,15345631,16224420,21119839,21228678,16715972,9227520,14339607,22793444,22809787,20649688,19904114,14343802,15488808,8628841,8042125
UPLINK: CDN - Feinberg Hall,40.345817,-74.65654,rx,5579603,2379844,1485312,589314,555058,478663,479602,491968,480026,684948,1071836,2611354,2912541,3257755,5448970,7806027,6050397,3389235,6129831,4848896,4760742,9021806,9846963,7747705,4999367,6024101,5706815,3502069,2540567
UPLINK: CDN - 1927/Clapp Hall,40.345208,-74.655773,rx,7297502,5071621,2183223,1051485,785104,1026286,1131920,608954,529067,705459,3657898,3123536,3873918,4010736,9528476,11680537,10654368,8478799,5217769,6935530,8425121,12055938,14326180,18025715,16328608,12267229,11045628,5774395,5825250
UPLINK: CDN - Class of 1915 Hall,40.344775,-74.656991,rx,6157027,7505360,5596119,2943192,1842733,1166041,792093,885793,939328,1473475,3906684,5767702,8025939,6542760,8603431,8288729,7678347,12507762,9061952,15327782,8780968,12348162,14870409,10145458,9051398,11359722,9842204,4295299,3707157
UPLINK: CDN - Wu Hall,40.344702,-74.656545,rx,670585,220108,195726,95171,96086,92847,384725,83799,80738,92415,275832,1354053,1812602,1671493,1883296,1187258,845798,1975921,2610571,4265944,5171547,3503068,2725426,1428235,1408902,1244970,726365,181170,231653
UPLINK: CDN - Dod Hall,40.346747,-74.658675,rx,21520271,17599654,28084043,48193406,12817390,18904896,2179437,2026881,2818944,3793529,5110815,9679377,21991203,16624242,21823928,54252928,67282951,27944275,20398077,26777627,23402536,28287028,58309157,42589907,33651969,37067633,24683542,13337408,10341495
UPLINK: CDN - Alexander Hall,40.348355,-74.660629,rx,168732,65563,68749,68198,69494,64262,67912,99162,68617,103686,112468,120003,173115,352759,250851,300523,310624,394898,495395,2300540,1563993,340867,405445,306166,268587,269229,197885,57894,60624
UPLINK: CDN - Bendheim Ctr for F,40.348712,-74.653484,rx,15025184,8631383,6965691,465532,404532,367887,676334,363549,278700,1005059,9943385,11344860,4293556,5100979,11668687,12064248,7144411,16575612,11041169,5387504,2871004,1922633,6373156,2820584,7811598,8841924,4494564,472083,296855
UPLINK: CDN - Foulke Hall,40.346307,-74.660997,rx,12062480,7688020,5652908,4467481,1499202,1064256,1121072,2713498,1266804,3093393,9755527,2356296,4557245,10566362,9035494,12389054,10178774,14111553,11418722,36334069,23383297,37064760,26553475,30564701,32823028,27149836,16933782,11814554,8031169
UPLINK: CDN - Gauss Hall,40.345127,-74.656718,rx,1105675,738402,1031074,590280,619589,595525,568659,566853,515896,965654,1131102,981334,1653834,5679330,7200661,5197678,8910190,5058635,5741727,11666685,11230938,10201929,14182719,12145579,15996511,7848956,4150984,2863462,1614306
UPLINK: CDN - Class of 1938 Hall,40.344979,-74.655407,rx,11865341,7423762,4401058,2086205,2257757,2453645,2456203,2270130,2067364,2749277,2912624,2917572,4073190,6506974,6893506,6645321,11966999,8598109,10224376,13871437,17070305,18363861,19346707,15435476,15390001,13752706,10967439,5258594,3339101
UPLINK: CDN - Dodge-Osborne Hall,40.3455,-74.655806,rx,12762314,8704182,3617840,6247045,6255275,4898467,1025702,1692236,1140356,1871484,2206606,2724614,3671350,5106476,8710179,11093471,12498732,19977139,15321651,11795379,14416449,16815664,20654490,21128389,19418887,13144572,12315589,12702214,5860800
UPLINK: CDN - Class of 1937,40.345858,-74.656244,rx,9624329,13451199,3934015,4413882,2488165,1057850,1121636,1129836,1913139,2013140,4672467,5383474,8245875,13233454,13217429,12650497,13035064,18434007,19731488,20151669,30356024,23834291,27119696,27005031,24625291,22024203,23879672,9556300,3911087
UPLINK: CDN - Jones Hall,40.346433,-74.655946,rx,535235,432798,298990,290227,271645,243684,264478,972053,237909,387270,615412,642585,990029,1005929,1009964,1538181,1482038,1994087,1832840,2037441,4587172,2984422,1961886,1639916,1284646,783626,593025,440876,339785
UPLINK: CDN - Campus Club,40.347662,-74.654524,rx,392393,84243,132730,87236,80571,81097,373505,80129,81847,84667,163433,296450,693259,148786,980506,1501165,2946908,1692208,2436242,4236287,3337465,4100586,3336156,2028082,439261,128857,127433,108959,1089227
