UPLINK: CDN - Friend Center,40.350347,-74.652729,rx,3813023,1333969,474972,469522,649308,417958,504312,1764052,1293695,515446,771771,8412094,1816599,5773146,11410856,39228518,24509877,12018451,10995438,10904228,11028592,8094562,8235454,24444947,6597464,7962605,4358595,1256494,551864,3094037,872375
UPLINK: CDN - Woolworth Music Center,40.347222,-74.655887,rx,744740,652136,277298,418755,323770,667753,289127,336471,386595,1437574,2437415,817137,1492357,1816744,1733819,875671,1656008,961706,722155,1684965,2338261,1476915,1996718,1909442,490129,554201,384204,520339,639322,306458,373185
UPLINK: CDN - Frist Campus Center,40.346814,-74.655308,rx,1605436,938102,891996,986045,815199,805873,1376160,2016013,925177,1930317,1782473,2599510,4908551,7871908,15501620,16559752,23341777,14229370,15012268,18498789,26306964,28631991,25079987,16072925,9027760,4860261,2002551,1536312,1101703,1019415,1412255
UPLINK: CDN - Frist Campus Center,40.346814,-74.655308,rx,806471,571843,601358,559401,525266,511691,610263,622161,724977,697643,2032055,2698667,9537199,14726486,21960744,32030127,26395232,16470600,19928112,27192293,37863587,46135293,38565316,39101404,31526719,11497590,1388955,1020300,896913,1021056,1509412
UPLINK: CDN - Whitman College,40.344,-74.657996,rx,128352712,68363278,38918773,77010234,80331981,49536926,66501448,44516929,67181598,66146752,85692591,77154529,85497899,119911131,124448952,134802855,146047684,194917403,150564860,170030379,203776140,199952799,217875267,233744299,196069036,169946035,174168971,109309662,110051148,79512030,93721235
UPLINK: CDN - West College,40.347979,-74.659678,rx,1668589,986961,1068532,975660,1161611,1221365,1251145,859649,819304,913426,1070988,1231964,2698040,1922883,1868571,2285491,2548177,2379054,2849686,2174450,2513840,2596321,2658219,2708520,1962908,1541117,1532702,1374804,1198497,1135460,1421100
UPLINK: CDN - Sherrerd Hall,40.349529,-74.652725,rx,8437796,6724567,3227206,2681546,2527107,2025344,1590354,1428162,1554655,1682480,1867523,3186874,4530259,21703603,7942222,7514102,17208368,10358712,16558855,10138826,11911547,13744830,11135368,10095595,5821205,4685879,3334727,2071761,2582639,1777434,1901191
UPLINK: CDN - Butler College,40.344015,-74.656392,rx,49086876,23084738,16189214,15346903,10251066,8800249,7933685,11303297,9847561,8225761,11097753,25696922,15829079,27730369,35881626,43969027,58133482,65690041,47240271,76568139,84790081,116697007,111864053,107202618,76119776,79560909,60175587,42006721,35316186,21255784,17965034
UPLINK: CDN - Lewis Library,40.346253,-74.652731,rx,29014286,18616081,15483859,34102568,14354383,12610835,17227603,15626196,20906724,24656898,20631379,25896768,104301225,50060491,28546404,37001393,34594136,54351721,43639720,47771525,70295834,51381060,40552809,33297583,27371986,22977942,15016086,36608531,19222524,18793089,19260639
UPLINK: CDN - Aaron Burr Hall,40.350198,-74.656595,rx,558322,368989,156903,185951,149236,137026,442419,118365,109467,190269,207229,184716,802632,442568,813045,724218,1203738,984506,881699,1536067,1187439,1116281,478445,436457,259764,156392,152827,191344,136678,195842,325779
UPLINK: CDN - Frick Chemistory Lab,40.344007,-74.650778,rx,14861515,14706703,15057974,15229710,14768657,13811974,11175753,19687954,11118236,12152245,92959612,94818658,153234801,14690831,13486998,12805050,16468255,18009019,15121616,16721616,14649027,14928057,13538868,14055794,12945487,10500306,10409833,10690252,9896799,11636927,8934966
UPLINK: CDN - Jadwin Hall,40.344924,-74.651786,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Firestone Library,40.349402,-74.65754,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - PNI/PSH core-87 Chan-29,40.348673,-74.652458,rx,1507654,1240181,1356480,1303074,1239370,1270820,1286321,1285154,1272659,1408797,1927881,1768297,1976500,2335101,3674000,3179037,2436559,2685522,3046973,4488104,3470495,3525598,4085405,3585331,2695645,2289302,2242678,2034522,2339333,2114567,1846462
UPLINK: CDN - Colonial Club,40.34884,-74.652207,rx,939866,2503731,3562286,3416501,2684873,3700795,1693061,2042586,1989951,1870019,2660505,7669874,1598624,1303533,1686001,1944326,2447943,4883290,9051398,6206713,11103664,6209364,6649502,7512376,8082932,6063133,4972100,3182928,2663445,1529679,1377601
UPLINK: CDN - Tiger Inn,40.347725,-74.654035,rx,191345,341861,151398,143962,142670,135928,131873,139033,187412,480878,173938,212676,515762,530665,598968,579034,776233,451971,1474876,485411,868887,617843,1166339,499351,661478,747020,894962,193071,176164,186214,210945
UPLINK: CDN - Tower Club,40.347069,-74.65402,rx,245464,207151,184957,172456,167642,156641,152812,160102,199378,185531,209646,346686,374380,605464,833056,1548398,1012460,2897464,3708603,6038106,3851303,3973021,4276541,3011400,3258455,3128862,2209568,1831674,1639797,904952,1923586
UPLINK: CDN - Terrace Club,40.348012,-74.652734,rx,258293,636121,1127542,564929,179662,162354,156507,165665,665039,380695,307834,339384,783003,451483,833007,1495327,1522173,2120080,2752225,7229498,6412565,2251292,1574521,728678,1423991,852814,1081760,1145347,766479,343712,239638
UPLINK: CDN - Quadrangle Club,40.348294,-74.651769,rx,2522055,805609,588595,935096,728698,793965,697301,4768332,4255334,191680,254186,951179,597847,834816,970030,1476774,3552697,1667194,4424635,6299282,6507950,3320359,2295186,4223821,3029543,928523,798096,976345,2536870,2171180,309495
UPLINK: CDN - Cottage Club,40.347103,-74.656707,rx,203863,178195,163792,154568,151976,144199,140083,143403,151688,168998,188253,231846,236899,442658,286897,287011,308837,303255,345006,347176,372268,362893,378090,431462,358272,287201,253537,212869,195508,206845,191059
UPLINK: CDN - Prospect House,40.343898,-74.647436,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - DeNunzio Pool,40.349122,-74.660252,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Maclean House,40.348855,-74.650101,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Charter Club,40.348961,-74.649517,rx,2832742,950029,213285,201485,197117,188533,209382,189382,221525,1222993,598184,1389289,660694,2480552,2395798,4350560,11053285,18658532,4823747,3363841,5490608,12535486,14440935,9263336,4891072,1863622,2208431,3115045,1694178,2114879,720794
